Stakeholder Name,Sector,Region,Social Media Business (0-18),Website Presence (0-12),Visual Content Quality (0-15),Online Discoverability (0-12),Digital Sales/Booking (0-8),Platform Integration (0-5),Digital Comfort & Skills (0-8),Content Strategy (0-8),Platform Usage Breadth (0-7),Investment Capacity (0-4),Challenge Severity (0-3),EXTERNAL TOTAL (0-70),SURVEY TOTAL (0-30),COMBINED SCORE (0-100),DIGITAL MATURITY LEVEL,SURVEY-EXTERNAL CORRELATION,SECTOR BONUS POINTS (0-7),Contact Info,Assessment Date,Notes,Follow-up Required,Social Media Justification,Website Functionality,Visual Content Quality,Online Discoverability,Digital Sales/Booking,Platform Integration,Website,Facebook,Instagram,Tripadvisor,YouTube
Maribantang–Dankunku Cultural Festival,Festivals and cultural events,Central River Region,3,0,3,5,0,1,,,,,,12,,12,Absent,,,,9/11/2025,"Facebook: Dankunku Maribantang Development Association page (posts with festival dates and clips).

Video snippets: FB user posts of traditional dances at Dankunku festival.

AccessGambia: listing of the Maribantang–Dankunku Cultural Festival.",,"A community/diaspora Facebook association page posts occasional updates and short clips, but not very active or professional.",No dedicated site; only listed on AccessGambia and tourism directories.,Short FB video clips of performances; low production quality.,Appears in AccessGambia and local FB mentions; modest search visibility.,No online ticketing.,"Minimal: local FB posts + directory mention, not cross-linked.",,https://www.facebook.com/damdagambia/,,,
Galoya Village Festival,Festivals and cultural events,West Coast Region,3,0,6,6,1,2,,,,,,18,,18,Absent,,,,9/11/2025,"Facebook: Galoya Village Festival page with 2025 cancellation notice.

My Gambia: Event listing (upcoming festivals) with Galoya entry.",,"Active on Facebook + Instagram with official posts, updates, and even ticket giveaways; clear, serious engagement on 1–2 platforms.",No dedicated website; listings appear only on My Gambia event pages.,"Branded visuals (ticket giveaway posts, cancellation notices) show some professional effort, though content volume is limited.","Found on My Gambia event listings and visible on FB/IG, but not widely indexed elsewhere.",No e-commerce; one VIP ticket giveaway promo via social media.,"Listed on My Gambia, but no deeper integration.",,,,,
Gambia Craft Market Federation,Crafts and artisan products,Greater Banjul Area,0,0,1,5,0,1,,,,,,7,,7,Absent,,,,9/11/2025,"Press launch (2012): Gambia Craft Market Federation launched — The Point. 
thepoint.gm

Context on membership: AllAfrica note listing member markets (Brikama, Bakau, Fajara, Cape Point, Senegambia, Banjul, etc.). 
allAfrica.com

Partner/Support mention: ITC Gambia (YEP) post referencing the Craft Market Federation’s role.",,"No active official account for the Federation found; visibility is via partner posts (e.g., ITC/YEP) or press.",No dedicated Federation website or maintained landing page identified.,Only incidental photos in news/partner posts; no curated galleries owned by the Federation.,"Mentioned in press and directories; background info on membership/markets available (e.g., The Point; AllAfrica).","No e-commerce, enquiries, or booking functionality tied to a Federation channel.","References in media/partner posts, but no cross-linked owned ecosystem.",,,,,
Kotu Craft Market (“Bendula” Market),Crafts and artisan products,Greater Banjul Area,0,0,4,6,0,2,,,,,,12,,12,Absent,,,,9/11/2025,"Overview (feature): My Gambia – “Kotu Craft Market” (background, photos). 
My Gambia

Directory/guide (with history, directions, goods): AccessGambia – Kotu Tourist (BB/Bendula) Craft Market. 
accessgambia.com

Short video feature: My Gambia (FB) — “KOTU CRAFT MARKET” clip. 
Facebook

Additional visual: YouTube – “Kotu Craft Market | My Gambia.” 
YouTube

Context mentions: TripAdvisor Kotu Beach reviews & forum threads noting the craft market.",,"No official market-run FB/IG found; only third-party features (e.g., My Gambia).",No official website or maintained landing page.,Decent photos/video from third parties (My Gambia article + FB video; YouTube feature).,"Well described in Access Gambia (incl. history, location, goods), and referenced in Kotu travel threads/reviews.",No e-commerce or online booking.,Appears across a few directories and social posts but not centrally managed.,,,,,
Fajara Craft Market,Crafts and artisan products,Greater Banjul Area,0,0,2,5,0,1,,,,,,8,,8,Absent,,,,9/11/2025,MyGambia - https://www.my-gambia.com/mymagazine/fajara-craft-market/,,No official FB/IG presence for the market; only mentioned on directories like AccessGambia and in scattered travel posts.,No dedicated website.,Few images available online; mostly text descriptions of location and goods.,Listed in MyGambia with description and directions; occasional mentions in travel blogs.,No online booking or sales.,"Appears in MyGambia, but not linked to social or media.",,https://www.facebook.com/p/Fajara-Craft-Market-100063739103477/,,,
Sunwing Craft Market,Crafts and artisan products,Greater Banjul Area,0,0,3,5,0,1,,,,,,9,,9,Absent,,,,9/11/2025,"Directory listing: AccessGambia – Sunwing Tourist Craft Market, Cape Point, Banjul. Includes phone contact, stall offerings, location info.",,No official Facebook or Instagram presence exists specifically for the Sunwing Craft Market,No standalone website or online portal discovered.,Only textual description and generic photo on AccessGambia; no curated visuals from market operators.,Listed in AccessGambia as “Sunwing Tourist Craft Market” with stall description and contact details. Present in tourism directories but not widely discussed in blogs or reviews.,No e-commerce or booking platform found.,Mentioned in AccessGambia only; no evidence of social or integrated listing in review sites.,,,,,
Serrekunda Batik Factory (Musu Kebba Drammeh’s),Crafts and artisan products,Greater Banjul Area,0,0,2,5,0,1,,,,,,8,,8,Absent,,,,9/11/2025,"AccessGambia directory: Serrekunda Batik Factory — includes contact address, overview of batik process. 
accessgambia.com

Tour itinerary mention: Access Africa roots trip includes visit to “tie and dye batik factory owned by… Musu Kebba Drammeh.”",,"No dedicated Facebook, Instagram, or other social accounts found for the Batik Factory. Only historical mentions and traveler posts exist.",No independent website; information available only through directory entries like AccessGambia.,"A few static images appear on directory pages, but no curated gallery or video coverage.","Easily found via AccessGambia directory (address, workshop info), and noted in tour itineraries (Access Africa).",No online booking or e-commerce capability.,Info scattered across tourism/directory sites but not linked to any social or official platform.,,,,,
Abuko Pottery Center,Fashion & Design,West Coast Region,7,9,11,8,0,3,,,,,,38,,38,Emerging,,,,9/11/2025,"Website: abukopotterycenter.com (About, Events, Contact; no online shop). 
Abuko Pottery Center
+1

Instagram: @abukopottery (200+ posts; active reels & updates). 
Instagram
+1

Facebook: Abuko Pottery Center page (light engagement). 
Facebook
+1

Example recent posts: media interview reel; school visit updates.",,"Active Instagram with consistent posts; small Facebook page. Strong on 1 platform, present on 2 overall.","Modern official website with about info, events page, contact; no shop/checkout.","Good-quality photos and reels of workshops, products, media interviews across site/IG/FB.","Site and socials rank for name; additional mentions exist, but not on major travel platforms.",No e-commerce or online booking; donations only (no product checkout).,Website ↔ Instagram linkage; presence on FB; basic cross-posting.,https://abukopotterycenter.com/,https://www.facebook.com/abukopottery/,https://www.instagram.com/abukopottery/,,
Bakau Women's Garden,Fashion & Design,Greater Banjul Area,0,0,3,7,0,2,,,,,,12,,12,Absent,,,,9/11/2025,"Coverage of new market & solar cold storage for Bakau Women’s Garden (June–July 2025): Church newsroom Africa; Church News; Deseret News; Yahoo syndication. 
news-africa.churchofjesuschrist.org
Church News
Deseret News
Yahoo

KMC handover article (June 12, 2025). 
Voice Out Digital

Alkamba Times feature: “Bakau Women’s Garden blossoms…” (Jan 21, 2024) – scale (~500+ women), context. 
alkambatimes.com

Gov’t (MoA) note on the 30-year-old garden. 
gamna.gov.gm

QTV Gambia Instagram reel of cold storage & shops unveiling",,No garden-run FB/IG account found; visibility comes via third-party posts (news/municipality/NGOs).,No official website or owned landing page.,"Decent photos/videos from news and partners (handover ceremony, women at work), but not curated by the garden.","Recent, multi-outlet coverage (KMC/partners handover; 525 women; 10.5-hectare site) makes it easy to find via search.",No e-commerce or booking; produce sold on-site/locally.,"Appears across municipal pages, local news, and NGO posts, but no owned cross-linking or managed profiles.",,,,,
National Centre for Arts and Culture (NCAC),Performing and visual arts,Greater Banjul Area,7,9,6,8,6,3,,,,,,39,,39,Emerging,,,,9/11/2025,"Website: ncac.gm
 (heritage sites, shop, festivals).

Facebook: @NCACGambia
 (updates on festivals, events).

Twitter/X: @NCACGambia

Coverage: Press/news mentions of NCAC’s activities, supporting discoverability.",,"Unactive Facebook page (~1.5k followers) with event/news updates, not used since 2019; Twitter/X presence (@NCACGambia) posting cultural news. FB name changed, seems maybe taken over by spam","Official site ncac.gm — structured sections on heritage, festivals, copyright, museums. Updated but some sections static. Functional design, mobile-friendly.","Photos from events/museums on website/FB are clear and useful, but mostly documentary-style; limited curated galleries or video content.",Ranks high for Gambian culture-related queries; present in news articles and press releases; site appears in search. Moderate broader visibility.,"Online shop is set up, has shopping cart, but check out is broken. Website includes online shop with publications, cultural merchandise; cart + checkout integrated. Rare e-commerce capability in Gambian cultural orgs.",Website + FB/Twitter cross-referenced; heritage sites under NCAC appear on TripAdvisor/Google; not fully integrated across tourism/global heritage apps.,https://ncac.gm/,https://www.facebook.com/NCACGambia,,,
Tunbung Art Village,Performing and visual arts,West Coast Region,6,6,6,6,2,3,,,,,,29,,29,Emerging,,,,9/11/2025,"Website: tunbungartvillage.gm
 (guesthouse, gallery, activities, contact info).

Facebook: Tunbung Art Village
 (updates on workshops, local events).

Instagram: @tunbungartvillage
 (~65 followers).

Travel guides: Lonely Planet – Tanji/Tunbung Art Village highlight.",,Facebook page (hundreds of followers) with occasional posts on workshops/events; Instagram account with small following (~65). Updates are irregular but authentic.,"Official site tunbungartvillage.gm — includes info on guesthouse, gallery, activities, and contact. Simple WordPress build, navigable but not regularly updated.","Website + socials show colorful murals, batik workshops, eco-guesthouse. Mix of casual and semi-professional photos; engaging but inconsistent in quality.",Listed in Lonely Planet and other travel guides; appears on Google Maps; minimal TripAdvisor reviews. Search returns its site + features.,"No booking engine; inquiries handled via phone, WhatsApp, or email. Basic but functional inquiry channel.","Present in travel guides (Lonely Planet, AccessGambia) + has own site + socials. No integration with major booking sites.",https://tunbungartvillage.gm/,https://www.facebook.com/people/Tungbung-art-village/100043150842600/,https://www.instagram.com/tunbungartvillage/,,
QTV Gambia,"Audiovisual (film, photography, TV, videography)",West Coast Region,18,6,15,12,0,5,,,,,,56,,56,Intermediate,,,,9/11/2025,"Website: qtv.gm

Facebook: @QTVGambia

YouTube: QTV Gambia

Twitter: @QTVGambia

Instagram: @qtvgambia",,"Highly active across Facebook, YouTube , Twitter, and Instagram. Daily posting, live streams, strong engagement.","Official site qtv.gm
 — includes live stream, news updates, schedules. Professional, though occasionally unstable and with limited interactive features.","Professional broadcast-standard content across all platforms; consistent branding, polished intros/graphics.",Ranks top for Gambian TV/news queries; content often appears in search results for local news. Highly visible and reputable.,"Free-to-air model; no online ticketing, pay-per-view, or merchandise. Revenue comes from ads/sponsorship, not e-commerce.","Deep integration with YouTube, Facebook Live, Twitter, OTT apps; content available globally. Cross-platform consistency is strong.",,https://www.facebook.com/QTVGM/,https://www.instagram.com/qtv_gambia/,,https://www.youtube.com/channel/UCgxFuxIi9EwZlPL4iZ-g0Ww
Paradise TV,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,18,2,15,12,0,5,,,,,,52,,52,Intermediate,,,,9/11/2025,"Website: ptv.gm
 (official, underdeveloped).

Facebook: @PTVGambia

Instagram: @ptvgambia/

YouTube: Paradise TV channel (news + entertainment uploads).

Twitter: @ParadiseTV_GM",,"Strong on Facebook, Instagram, YouTube , Twitter. Daily updates with interactive posts and live video.","Official site ptv.gm exists but appears underdeveloped/outdated (placeholder posts, little recent content). Most engagement happens on social channels.","Broadcast-quality video production: professional studio lighting, multi-camera setups, polished graphics. Consistent across live and archived content.",Easily found via search; strong reputation in Gambian broadcasting; active presence across social platforms ensures top visibility.,"Free-to-air TV model, ad-supported. No online ticketing, subscriptions, or e-commerce.","Fully integrated across Facebook Live, YouTube, Twitter, Instagram; content shared consistently across platforms.",https://ptv.gm/,https://www.facebook.com/PTVGambia,https://www.instagram.com/ptvgambia/,,https://www.youtube.com/@ptvgambia3371
West Coast Radio,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,3,12,3,8,0,5,,,,,,31,,31,Emerging,,,,9/11/2025,"Website: westcoast.gm

Facebook: @WestCoastRadioGambia
 (~2.5k followers).

Radio directories: TuneIn, myTuner Radio, ZenoRadio (carry WCR streams).",,Facebook page (~2.5k likes) with infrequent posts. Relies more on radio reputation than digital engagement.,"Website westcoast.gm with live streaming, daily updated news, weather, sports, and audio archives. Professional and mobile-friendly.",Primarily audio-focused; visuals limited to news thumbnails and occasional studio/event photos. Functional but not polished.,"Recognized brand; site ranks well in search, also listed in radio directories (TuneIn, myTuner). Moderate Google visibility.","No online subscriptions, ticketing, or shop; ad sales handled offline.","Fully integrated into global radio platforms (TuneIn, myTuner, ZenoRadio), ensuring access for diaspora and online listeners.",https://westcoast.gm/,https://www.facebook.com/westcoastradiogambia/,,,
Capital FM,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,7,0,3,6,0,5,,,,,,21,,21,Emerging,,,,9/11/2025,"Facebook: @CapitalFMGambia
 (~8.5k followers).

Website: capitalfm.gm
 — inactive/unavailable.

Radio directories: TuneIn & Online Radio Box – Capital FM Gambia (live stream access).",,Facebook page (~8.5k followers) with music/entertainment updates; DJs also use personal pages. Small IG presence. Engagement moderate but mostly FB-centric.,Official site capitalfm.gm is inactive/unavailable; no central hub for content.,"Photos of DJs, events, community promos posted on FB; mostly smartphone quality, simple graphics, flyers. No polished video output.","Appears in online radio directories (TuneIn, Online Radio Box) and via FB. Limited SEO footprint due to lack of website.","No online booking, e-commerce, or digital sales. Advertising arranged offline.","Streaming accessible via TuneIn, Online Radio Box, and other radio aggregators; ensures online/diaspora reach.",,https://www.facebook.com/capitalfm100.4/,https://www.instagram.com/capitalfmgambia/,,
Paradise FM,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,7,0,3,6,0,5,,,,,,21,,21,Emerging,,,,9/11/2025,"Facebook: @ParadiseFMGambia
 (~11k followers).

Website: paradisefm.gm
 — inactive/placeholder.

Streaming: TuneIn – Paradise FM, myTuner Radio (global access).",,"Facebook page (~11k followers) with event promos, entertainment updates, community posts. Some cross-promotion with Paradise TV. Instagram modest; Twitter inactive. Engagement steady but not large-scale.",Domain paradisefm.gm exists but not populated (default/placeholder). No usable website content.,"Photos from studio, DJs, events, and occasional flyers. Mostly smartphone quality or simple poster graphics. No video production.","Shows up via FB page, streaming directories (TuneIn, myTuner). SEO presence otherwise limited due to lack of website.",No online transactions or ticketing; ad deals handled offline.,"Integrated with TuneIn, myTuner, and other radio aggregators; easy diaspora streaming.",,,,,
The Fatu Network ,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,18,12,10,12,0,5,,,,,,57,,57,Intermediate,,,,9/11/2025,"Website: fatunetwork.net
 (daily updated news, categories, archives)
Facebook: The Fatu Network
 (600k+ followers)
Twitter/X: @Fatunetwork
Instagram: @fatunetwork
YouTube: The Fatu Network channel (interviews, live streams).",,"Extremely strong across Facebook (600k+ followers), Twitter/X, Instagram, YouTube. Multiple daily posts, live streams, breaking news, and high engagement.","Professional news portal fatunetwork.net with multiple daily updates, categories, and archives. Optimized for mobile.","Frequent video/live coverage of events, interviews, and pressers. Good semi-professional standard; not always TV-polished, but effective.",Ranks top for Gambian news queries; cited in international outlets; strong SEO and visibility.,"Free-to-access, ad-supported. No subscriptions, e-commerce, or paywall.","Fully integrated across web, mobile app, social media, YouTube, and Google News.",https://fatunetwork.net/,https://www.facebook.com/fatunetwork,https://www.instagram.com/thefatunetwork/,,
Kerr Fatou ,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,18,12,15,12,0,5,,,,,,62,,62,Advanced,,,,9/11/2025,"Website: kerrfatou.com
 (daily news, interviews, archives).

Facebook: Kerr Fatou
 (208k+ followers)

Instagram: @kerrfatou
 (~66k followers)
YouTube: Kerr Fatou Media
 (~95k subs)

Twitter/X: @KerrFatou",,"Very strong: Facebook (208k+ followers, live debates/talk shows), Instagram (~66k), Twitter/X, and YouTube (95k subs, 5k+ videos). Frequent live streams with high engagement.","Professional site kerrfatou.com with news articles, interviews, embedded videos, and archives. Updated daily.","High-quality HD video productions of talk shows and interviews, with branded graphics and multi-camera setups. Live streams also well produced.",Highly visible; site ranks well for Gambian news queries. Stories widely shared and cited. Strong online reputation as a leading current affairs outlet.,"No e-commerce or ticketing; content is free-to-access, supported by ads and sponsorships.","Seamless integration across website, YouTube, Facebook, Twitter, and Instagram. Content cross-posted effectively.",https://www.kerrfatou.com/,https://www.facebook.com/Kerrfatou/,https://www.instagram.com/kerrfatou,,https://www.youtube.com/@KerrFatou
What’s On – Gambia,"Audiovisual (film, photography, TV, videography)",Greater Banjul Area,12,12,6,8,0,3,,,,,,41,,41,Intermediate,,,,9/11/2025,"Website: whatson-gambia.com
 (entertainment, lifestyle, community stories)

Facebook: What’s On – Gambia
 (active, gossip + lifestyle updates)

Instagram: @whatsongambia

YouTube/TikTok: Secondary channels for short video content.",,"Strong Facebook presence (tens of thousands of followers, highly active group/page), Instagram (@whatsongambia) with steady posting, plus smaller YouTube/TikTok activity. Core strategy relies on FB/IG with high engagement.","Official site whatson-gambia.com
 — updated daily with news, lifestyle, entertainment. Well-structured, mobile-friendly, categories and archives.","Relies on mix of celebrity/event photos, candid snapshots, memes, and simple graphic cards. Effective for virality, but uneven quality.",Highly recognizable brand; site ranks for Gambian entertainment/lifestyle stories. FB posts often go viral. Reputation is strong but sometimes controversial.,"Free content; monetized via ads and sponsored posts, not direct sales or booking.","Cross-links between FB, IG, and website; stories often shared into WhatsApp groups. No mobile app or wider aggregator integration.",,,,,
My Gambia (online magazine),Marketing/advertising/publishing,Greater Banjul Area,18,12,15,12,6,3,,,,,,66,,66,Advanced,,,,9/11/2025,,,"My Gambia has a comprehensive multi-platform presence with a large following. Their Facebook page has over 100,000 followers and their YouTube channel 10,000+ subscribers. They are active on Instagram (@mygambiatravel) and even TikTok (15k+ followers) as well, indicating professional management and daily engagement across channels.","The project runs a professional, content-rich website (my-gambia.com) that is regularly updated. The site features an online magazine with new articles in multiple categories (Travel, People, News, etc.) through Aug 2025, as well as a directory and trips booking section. The website is well-designed, comprehensive, and kept current (updated within the last 3 months).","My Gambia’s visuals are highly professional. They have shared over 800 videos on YouTube (travel vlogs, interviews, etc.) and high-quality photographs in their articles. The branding is consistent and images (e.g. in their online magazine and social posts) are clear, well-composed, and vibrant, reflecting studio-level photography and videography standards.","The platform shows excellent discoverability. Searching “My Gambia magazine” or related terms yields their official site and social profiles on the first page. They dominate results in their niche. Their brand’s strong web presence and large audience serve as a positive online reputation. While user-generated reviews aren’t applicable to a magazine, their content and name are highly visible in search results.","My Gambia offers a “Trips & Activities” section where users can browse and inquire about tours and services online. The site allows requesting quotes and has WhatsApp contact integration for bookings
my-gambia.com
my-gambia.com
. While a full e-commerce payment gateway isn’t present (booking confirmations and payments are handled via inquiries and offline processes), the platform supports digital inquiries and multi-option bookings.","My Gambia is present on relevant travel and social platforms. They maintain a Google Maps listing and are referenced by Gambian tourism sites. They engage with platforms like TripAdvisor indirectly (their content often references local attractions). However, as an online magazine, they are not formally listed on tourism marketplaces (being more of a content provider). Their platform integration is good (Facebook, Instagram, YouTube, etc.), but sector-specific listings (e.g. official tourism board site) are limited.",https://www.my-gambia.com/,https://www.facebook.com/mygambiatravel/,https://www.instagram.com/mygambiatravel/?hl=en,,https://www.youtube.com/mygambia
Flex Fuzion Entertainment & Dance Academy,Performing and visual arts,Greater Banjul Area,7,0,6,5,2,3,,,,,,23,,23,Emerging,,,,9/11/2025,,,"Flex Fuzion maintains an active presence on a couple of social platforms, especially Facebook and Instagram. Their Instagram (@flexfuziondancegambia) has ~1.1k followers and showcases the academy’s dance activities. The academy frequently shares updates (e.g. representing Gambia at international competitions) and engages with its audience, but its reach remains moderate. (They have a YouTube channel and news features, but not a large multi-platform following yet.)","No dedicated website was found for Flex Fuzion. The group relies on social media pages for information and promotion. There is no standalone website or web page for the academy’s services – contact is via Facebook/Instagram and community networks. (They are listed on a business directory and featured in news articles, but no official site.)","Good amateur visuals. Flex Fuzion shares photos and videos of performances and classes on social media. Many images are clear but likely taken with smartphones or basic cameras. Some professional photos appear in media coverage (e.g. when they performed abroad
), but the overall visual content, while vibrant, is not consistently professionally produced. Quality is acceptable and conveys their performances energetically.","The academy has decent search visibility. A Google search of their name brings up their Facebook page and news articles about them (e.g. their dancers’ international achievements). They are mentioned in local press and even government cultural reports. However, they don’t have an official Google Business listing or many user reviews. They can be found online, but their search presence is tied mostly to news/media pieces and social pages rather than an optimized official profile.","Basic inquiry only. There is no online booking or payment system. Interested persons must contact them via phone, Facebook, or WhatsApp to enroll in classes or book performances. Flex Fuzion provides contact info for inquiries and takes bookings/offers via messaging, but no e-commerce or online ticketing exists.","Flex Fuzion is listed on a few relevant platforms. They appear on an international talent directory and local event listings, showing effort to integrate beyond just social media. They collaborate with bodies like the Dance Association of The Gambia and have partnered with cultural institutions (e.g. Alliance Française workshops
facebook.com
). While not present on tourism platforms (being a dance academy), they leverage arts networks and event platforms to some extent.",,https://www.facebook.com/flexfuziondancegambia/,https://www.instagram.com/flexfuziondancegambia/,,
Gambia Union of Theatre (GAMUT),Performing and visual arts,Greater Banjul Area,7,0,3,2,0,0,,,,,,12,,12,Absent,,,,9/11/2025,,,"GAMUT has an emerging social media footprint, primarily on Facebook and Twitter. As an umbrella organization uniting drama, dance, comedy, and film practitioners, it shares news and opportunities for theatre artists. Their Facebook page (Gambia Union of Theatre – GAMUT) posts updates about training workshops, World Theatre Day events, etc., though the following is not large. They also have a Twitter/X account (@GambiaGamut) used for advocacy and announcements. The content is not daily, but the presence is official and engages members periodically.",No official website. GAMUT does not operate a dedicated website; information about it is available through social media or press releases. No standalone GAMUT web portal exists for resources or membership info (they rely on NCAC announcements and their Facebook page).,"Basic event photos. As an association, GAMUT’s visual content is generally limited to photos of meetings, group workshops, and event flyers. Images shared (for example, on Facebook or news articles) are usually candid shots of participants or simple graphics. They serve their purpose but are often low-resolution or taken on smartphones. There is little in terms of polished, branded visuals – the focus is on informational content.","Limited discoverability. A search for GAMUT yields some news (e.g. Voice Gambia articles on World Theatre Day) and possibly their Facebook page. However, without a website or significant media profile, they are not highly visible to a general audience. One would have to specifically look for “GAMUT Gambia” to find relevant info. They are referenced in cultural policy documents, but those are niche. In short, they exist online but have a low profile to anyone outside the performing arts circles.",Not applicable. GAMUT is an association and does not offer products or ticketed services.,"Minimal platform integration. GAMUT isn’t listed on public cultural directories or event platforms in a way the general public would see. Its integration is mostly institutional (under NCAC support). There is no presence on tourism or ticketing platforms. (Their collaborations, like co-hosting World Theatre Day with NCAC, are communicated via press rather than platform profiles.)",,https://www.facebook.com/gambiaunionoftheatre/?locale=fr_FR&_rdr,,,
Visual Arts Association of The Gambia (VAAG),Performing and visual arts,Greater Banjul Area,7,6,10,5,0,1,,,,,,29,,29,Emerging,,,,9/11/2025,,,"VAAG manages an official Facebook page and potentially other social accounts (their website links to Facebook, Twitter, LinkedIn, Instagram). The engagement on Facebook is moderate; they post about exhibitions, artist spotlights, and association news (like their annual congress). They are not yet a social media powerhouse but do maintain a regular presence for their members. (For instance, VAAG went to congress in Nov 2024 and this was publicized online.)","Functional association website. VAAG has an official website (vaag.gm) which contains news updates, artist profiles, and even an image gallery. The site is fairly comprehensive: it publishes articles on Gambian artists and VAAG news (e.g. coverage of their November 2024 Congress). However, the update frequency has slowed in 2025. The site is professionally made and served as a central info hub up to late 2024, but content updates in the past 6+ months have been sparse. It is a solid resource (with events, mission, etc.), just not constantly updated.","Quality art visuals and galleries. Given VAAG’s focus, their content often features images of artwork and artists. The website’s gallery shows curated art pieces (paintings, etc.), and posts include photos of exhibition openings and artist works. Many of these images are high-resolution and show the art in good lighting, indicating semi-professional handling. For example, the VAAG site includes an “Our Collections” gallery with photographs of members’ artworks. While some social posts (e.g. event pics) are more casual, the overall visual presentation of art is quite good.","VAAG has a decent online footprint for those searching Gambian art. Their official website appears in search results (and clearly states their mission to promote fine arts and preserve culture
). They are also mentioned in news (such as mounting a 60th Independence art exhibition). However, outside of arts-specific searches, they are not widely reviewed or referenced by general travel sources. They do appear in official documents and have a unique name, so interested parties can find them. With time, better SEO on their site could raise this further.",No e-commerce. VAAG’s site does not facilitate sales of artwork or tickets; it’s an association portal. Any sale of art by members is handled individually or via exhibitions (offline).,"Basic listing presence. VAAG is primarily integrated through its own channels and collaborations with NCAC. It is one of the officially recognized artist associations, but it’s not featured on tourism or large art marketplaces. It does have a presence on a local business directory (Xippia) and posts on government/partner pages when relevant. Beyond that, integration is minimal – they rely on their site and social media.",https://vaag.gm/,https://www.facebook.com/p/Visual-Art-Association-of-The-Gambia-61552606984214/,,,
Association of Fashion Designers of The Gambia (AFDG),Fashion & Design,Greater Banjul Area,3,0,3,2,0,1,,,,,,9,,9,Absent,,,,9/11/2025,,,"AFDG’s official social media presence is very limited. There is a Facebook page titled “Association of Fashion Designers of The Gambia,” but it has only a few followers and minimal activity. This indicates only a basic attempt at a social presence. There is no significant content strategy or engagement; the page mainly exists in name with occasional posts about industry events (like Miss Gambia pageant collaborations). No active Instagram or Twitter specific to the association is evident.","No functioning website. The association ostensibly had a website (fashiondesigners.gm) as per their Facebook info, but that site is not operational (and appears to have been defunct or compromised). In practice, AFDG disseminates information through press conferences and partner organizations rather than an official site.","Sparse and informal visuals. As an association, AFDG itself produces little original visual content. Photos that do appear on their Facebook or in media are often snapshots from events (e.g. group photos at a press briefing or designers showcasing outfits at a charity donation). These are typically of low to average quality. There is no consistent visual branding or high-quality imagery being put out by the association directly.","AFDG has low discoverability online. A general search might pull up a Facebook page or an allAfrica news piece about one of their activities. They are also mentioned in the national Creative Industries Roadmap. However, without an active site or social feed, they are not easily found by the public. One basically finds them via news of events they co-organize (like Miss Gambia 2022) or through references in documents, rather than an active web presence.",Not applicable. The association doesn’t engage in commerce; it doesn’t sell products or services directly.,"Minimal integration. AFDG is primarily an offline entity. It isn’t listed on consumer platforms (since it’s an industry body). The only integration of note is through collaborations – for example, working with the tourism ministry on pageants or being listed alongside peer associations in reports. Aside from a basic Facebook page listing, there’s little platform presence.",,https://www.facebook.com/p/Association-of-Fashion-Designers-of-The-Gambia-100068624205432/,,,
